id,Wadell_Sphericity,Convexity,Krumbein_Sphericity,Zingg_S_I_Ratio,Zingg_I_L_Ratio,Potticary_Flatness,Potticary_Elongation,Tensor_Compactness,Tensor_Flakiness
35,0.889059165783259,0.9373954480669568,0.8806258223513475,0.9972199851816351,0.8267251040837535,0.0040892775092894835,0.06730142738445695,0.7657001922917644,0.024096362607027324
36,0.8885917458234347,0.9361773765943816,0.8794722277104056,0.997199990532615,0.8253708163352862,0.004065740924690747,0.0681444979216679,0.7644460649107013,0.024168722764188237
37,0.8887493933716462,0.9373431295434932,0.8807726071249953,0.9971715428612449,0.8267108773531979,0.0041814615122146076,0.06735890152224575,0.7656849845573577,0.024324083322200776
38,0.8881669453706287,0.9357867151668201,0.8792202357791665,0.9971429868177935,0.8250701149849042,0.004161386828248699,0.06839740545634763,0.7641807807377468,0.024420157879605008
39,0.8891714603743948,0.9388780735827071,0.8822674013670698,0.9971577796069059,0.828650562730554,0.004299487666382144,0.06624439143272767,0.7674665025487823,0.024422588181320214
40,0.8870916395888442,0.9341709488802742,0.8779590656354149,0.9970386786894365,0.8235085157498923,0.004285862966854539,0.06948071682309528,0.7627161851219266,0.024873681791065173
41,0.8879974156823717,0.9352922804415393,0.8787154624682821,0.9971346963535656,0.8245411931651914,0.004153277893136772,0.06872492687529827,0.7636949276706158,0.024450527623178384
42,0.8902679085556032,0.9384912373302102,0.8812261715492682,0.9973709474910389,0.8276234897848678,0.0038398912616281044,0.0665668651282069,0.7665084720264309,0.023403038694751268
43,0.8894535077925677,0.9377392202517915,0.8808352366985489,0.9972709742459384,0.8269885141555577,0.004002780886366963,0.06707900762557982,0.7659240524120439,0.023866070755418172
44,0.8885860557845396,0.9365211487792162,0.8798918458532146,0.9971797249533914,0.8258233772565242,0.004125390557520505,0.0678901270211461,0.7648341458644632,0.024268238744377894
45,0.8907822992286597,0.939576846692082,0.88225713853779,0.9974006956273859,0.828767286588068,0.003833407743109597,0.06582007458411067,0.7675230208453092,0.02328287417784906
46,0.8895119701529802,0.9384093662445542,0.8815291618475437,0.9972485412250865,0.8278502552476648,0.004082890253307091,0.0666134143809238,0.7667492989847239,0.023982938295402132
47,0.8903288812272929,0.9389666078765402,0.8817850483909198,0.9973532828417692,0.8281641055459845,0.0038987313423098787,0.06624548155141163,0.7669919985371788,0.023496758784520563
48,0.8908037205515589,0.9391104838160653,0.881629053385867,0.9974255670200695,0.8281788172787183,0.003760838020955109,0.06614746566278387,0.767024059619044,0.023151982749735827
49,0.8902336009681475,0.9387383929964785,0.8815248988261506,0.9973502484234896,0.8279833614009702,0.0038957270832421878,0.06637659794594868,0.766831749873131,0.023504853169802335
50,0.8872514069554674,0.935052404947168,0.8788805624449524,0.9970193884589456,0.824540869830406,0.004371638015274786,0.06887811817318559,0.7636940764914512,0.02498246036248738
51,0.8893413805555171,0.9382997317914941,0.8815236883385945,0.9972217191349376,0.82776726598609,0.004132591310836788,0.0666823051421039,0.7666585632857817,0.024106181314848492
52,0.8884679595851187,0.936771327567713,0.8802409925683022,0.9971508437936957,0.8261650343463847,0.004195364347348611,0.06773374238646174,0.7651800083316629,0.024404628143310444
53,0.8906922069461538,0.9388690659123938,0.8814076394228924,0.9974211237647317,0.8279438606680256,0.0037577824744706354,0.06631185437541409,0.7668147262898397,0.023165313297702664
54,0.8914667216522286,0.9401718465037376,0.8825413925938933,0.997488260269165,0.8292038963265616,0.0036833667998305624,0.06543844417635215,0.7679497453331421,0.02287017789074568
55,0.8894846356524057,0.9368649826604228,0.8797229565241949,0.9973161112178456,0.8258542557285258,0.003867986114023046,0.06770842082529183,0.7649351524586577,0.02362678173185741
57,0.88932782487462,0.937436167672483,0.880523509837912,0.997262033549222,0.8266649638136774,0.004006875200300581,0.06727197048175765,0.7656305090908259,0.023902178611065042
58,0.8891265536948795,0.9374830569152098,0.8807229771351961,0.9972262707623568,0.8268022194300613,0.0040809014850916965,0.06723652977541268,0.7657397437502778,0.02406963831602676
60,0.8889825176122603,0.938795462140587,0.8823268205171051,0.9971316077492454,0.828537988336119,0.004346968767802334,0.06631057467087205,0.7673336051085556,0.02454114934909679
61,0.8910972038322171,0.9405454797326246,0.8832384229066189,0.9974059516733343,0.8298413508558926,0.0038701898948703376,0.0651714835899422,0.7685103319309214,0.023273606169896495
62,0.8894049193231791,0.9380681853073439,0.8812846959911098,0.9972474575042725,0.8273947304242277,0.004066672777601828,0.06684582294469855,0.7662645240778679,0.02398491720378242
63,0.8908509144035712,0.9393002618563653,0.8818243102916516,0.9974231828342784,0.8284043432915047,0.0037754703209631974,0.06600766979068158,0.7672197740816151,0.023164432177912902
64,0.8878715096256438,0.9362227851241803,0.8799136872591177,0.9970665303143588,0.8257180778947595,0.004338055014765511,0.0681002355483641,0.764786763557636,0.024784006185576756
65,0.891690195140599,0.94119298315686,0.8836123056717656,0.9974688616665927,0.830464578654668,0.003775334212049428,0.06470847937716058,0.769069329660927,0.022981105094442098
67,0.8882644012328811,0.9356382736957662,0.8790315576100997,0.9971712177450006,0.8248186144110274,0.004094664266126024,0.06852292314351323,0.7639450608544411,0.02429472650527096
68,0.8888824398693405,0.9364419923339286,0.8795962763699566,0.9972345612265847,0.8256176824439063,0.0040114606898795395,0.06795682569584213,0.7646803094167883,0.02400885549511986
73,0.8915997681499229,0.9402265711857096,0.8824988150098556,0.9975041367790916,0.8292563304509202,0.003654958305156065,0.0653973929135196,0.7679987732530207,0.02278867431019264
74,0.8905530799166991,0.9391740927756067,0.881899465779916,0.9973820556293834,0.8283384368844229,0.003851755224685702,0.06609023443187576,0.7671326700804418,0.023361575508578918
75,0.8914090960622418,0.9404632384687365,0.8828973285652738,0.9974598125977949,0.8297028557894981,0.0037606877093720767,0.06517443994441663,0.7683552470871385,0.023011893731030277
76,0.8900437098661972,0.9396068311288784,0.8826793881752861,0.9972726540132002,0.8291179431627875,0.004098026748074012,0.06577475171491323,0.7678628683130793,0.023894714370878815
77,0.8880377480168928,0.9361522661709739,0.8796816946875007,0.997102293101224,0.8256917261097529,0.00426542808741538,0.06810775973710669,0.7647649733710232,0.024626939360758222
78,0.8875210701713394,0.935249586552109,0.8789780330081635,0.9970609491521661,0.8246292480050701,0.00429485562360949,0.06878279203391936,0.7637924728028743,0.02479528560222972
